timestamp_s,frame_number,tracking_status,target_pan_deg,target_tilt_deg,estimated_pan_deg,estimated_tilt_deg,gimbal_pan_deg,gimbal_tilt_deg,pan_error_deg,tilt_error_deg,total_angular_error_deg,total_angular_error_mrad,pixel_error_px,rssi_signal_strength,pan_pid_output,tilt_pid_output,detection_confidence,beacon_visible,ground_truth_in_fov,ground_truth_x_px,ground_truth_y_px,detected_x_px,detected_y_px,predicted_x_px,predicted_y_px,link_locked,fps,processing_time_ms
0.016,1,ACQUIRING,11.998,0.116,12.559,0.197,0.56,0.066,11.275,0.286,11.278,196.84,273.7,0.961,35,4.124,1,TRUE,TRUE,927.8,368.6,927.6,368.6,927.6,368.6,FALSE,63,17.12
0.032,2,TRACKING,11.996,0.174,12.577,0.239,1.12,0.091,10.996,0.158,10.997,191.94,266.71,0.966,35,1.57,1,TRUE,TRUE,920.9,364.5,920.9,365.1,921.2,365.2,FALSE,63,14.98
0.048,3,TRACKING,11.993,0.232,12.854,0.351,1.68,0.092,10.418,-0.002,10.418,181.82,252.34,0.974,35,0.078,1,TRUE,TRUE,906.6,360,906,360.2,913.7,362.7,FALSE,63,2.65
0.064,4,TRACKING,11.988,0.29,13.307,0.314,2.24,0.09,9.599,0.068,9.599,167.54,232.12,0.982,35,-0.141,1,TRUE,TRUE,886.4,361.3,886.8,361,904.7,362.2,FALSE,63,3.29
0.08,5,TRACKING,11.983,0.348,13.452,0.01,2.8,0.115,9.135,0.557,9.152,159.73,221.08,0.988,35,1.54,1,TRUE,TRUE,874.9,373.3,874.5,373.9,896.9,365.1,FALSE,63,2.45
0.096,6,TRACKING,11.977,0.406,13.529,0.475,3.36,0.133,8.778,0.141,8.78,153.23,211.97,0.99,35,1.168,1,TRUE,TRUE,866,363.3,865.8,364,890.2,364.9,FALSE,63,8.74
0.112,7,TRACKING,11.97,0.464,13.854,0.519,3.85,0.15,8.113,0.155,8.115,141.63,195.7,0.989,30.655,1.025,1,TRUE,TRUE,847.8,363.7,847.6,364.9,881.9,364.9,FALSE,63,8.69
0.128,8,TRACKING,11.962,0.522,14.031,0.31,4.24,0.174,7.559,0.464,7.574,132.18,182.46,0.985,24.364,1.509,1,TRUE,TRUE,831.6,371.2,831.8,370.5,872.8,365.9,FALSE,63,3.47
0.144,9,TRACKING,11.954,0.58,13.777,0.337,4.556,0.209,7.463,0.555,7.484,130.62,180.26,0.982,19.708,2.213,1,TRUE,TRUE,827.3,373.9,826.7,374.3,864.4,367.3,FALSE,63,2.84
0.16,10,TRACKING,11.944,0.638,13.624,0.806,4.813,0.237,7.281,0.131,7.282,127.09,175.38,0.981,16.072,1.706,1,TRUE,TRUE,821.3,363.9,821.6,364.6,856.4,367,FALSE,63,2.85
0.176,11,TRACKING,11.933,0.696,13.723,0.606,5.008,0.269,6.794,0.423,6.807,118.81,163.82,0.985,12.209,2.045,1,TRUE,TRUE,807.9,371.1,807.4,371.5,847.2,367.8,FALSE,63,8.68
0.192,12,TRACKING,11.922,0.753,13.496,0.498,5.156,0.318,6.656,0.667,6.689,116.74,160.91,0.994,9.271,3.049,1,TRUE,TRUE,803.3,377.2,804.7,378.9,838.5,369.7,FALSE,63,50.27
0.208,13,TRACKING,11.909,0.811,13.011,0.87,5.277,0.363,6.825,0.365,6.835,119.29,164.49,1,7.526,2.817,1,TRUE,TRUE,806.8,370,807,369.8,831.1,369.9,FALSE,63,3.25
0.224,14,TRACKING,11.896,0.869,12.948,1.022,5.369,0.401,6.559,0.265,6.565,114.58,157.94,1,5.742,2.384,1,TRUE,TRUE,799.8,367.3,799.9,367.4,823.4,369.8,FALSE,63,2.72
0.24,15,TRACKING,11.881,0.926,12.936,0.748,5.429,0.449,6.223,0.649,6.257,109.2,150.43,1,3.792,2.985,1,TRUE,TRUE,791,376.3,791.1,376.3,815.3,371,FALSE,63,2.61
0.256,16,TRACKING,11.866,0.984,12.419,0.869,5.48,0.502,6.462,0.624,6.492,113.31,156.14,1,3.173,3.276,1,TRUE,TRUE,796.7,375.6,796.5,375.1,808.9,371.9,FALSE,63,12.6
0.272,17,TRACKING,11.85,1.041,12.116,1.297,5.531,0.541,6.531,0.225,6.535,114.06,157.22,1,3.187,2.446,1,TRUE,TRUE,798.6,365.8,798.5,365.2,803.6,371.3,FALSE,63,12.84
0.288,18,TRACKING,11.833,1.098,12.297,1.055,5.568,0.584,6.072,0.553,6.097,106.42,146.58,1,2.313,2.723,1,TRUE,TRUE,787.2,373.6,786.6,374,797.3,372,FALSE,63,1.27
0.304,19,TRACKING,11.815,1.156,12.043,0.998,5.6,0.636,6.083,0.712,6.125,106.9,147.22,1,2.003,3.214,1,TRUE,TRUE,787.5,377.6,786.9,377.1,791.8,373,FALSE,63,2.47
0.32,20,TRACKING,11.796,1.213,11.539,1.295,5.646,0.683,6.425,0.477,6.443,112.45,154.97,1,2.875,2.975,1,TRUE,TRUE,796.1,372.1,795.3,371.4,788.3,373.1,FALSE,63,3.35
0.336,21,TRACKING,11.776,1.27,11.703,1.519,5.695,0.722,6.075,0.291,6.082,106.15,146.23,1,3.031,2.431,1,TRUE,TRUE,787.6,367.8,787.5,367.8,784.3,372.7,FALSE,63,10.2
0.352,22,TRACKING,11.755,1.327,11.832,1.105,5.736,0.775,5.729,0.826,5.788,101.03,139.05,0.974,2.571,3.311,1,TRUE,TRUE,778.9,380.9,778.3,381.3,779.6,374.2,FALSE,63,15.09
0.368,23,TRACKING,11.733,1.384,11.328,1.437,5.791,0.829,6.105,0.573,6.131,107.01,147.4,0.952,3.432,3.353,1,TRUE,TRUE,788.2,375.1,788.7,375.3,777,374.7,FALSE,63,4.16
0.384,24,TRACKING,11.711,1.44,11.238,1.655,5.857,0.875,6.071,0.4,6.084,106.19,146.27,0.937,4.115,2.9,1,TRUE,TRUE,787.5,370.9,786.8,370.2,774.5,374.4,FALSE,63,3.77
0.4,25,TRACKING,11.687,1.497,11.641,1.607,5.916,0.921,5.486,0.513,5.51,96.16,132.36,0.932,3.682,2.867,1,TRUE,TRUE,773,373.4,773.4,373.6,770.7,374.6,FALSE,63,3.03
0.416,26,TRACKING,11.663,1.553,11.364,1.34,5.977,0.979,5.617,0.898,5.688,99.27,136.61,0.938,3.814,3.633,1,TRUE,TRUE,776.1,382.6,776.1,383,767.7,376,FALSE,63,11.05
0.432,27,TRACKING,11.638,1.61,10.979,1.915,6.053,1.028,5.916,0.361,5.927,103.45,142.48,0.952,4.76,3.062,1,TRUE,TRUE,783.7,369.6,784.2,370,766.3,375.6,FALSE,63,14.82
0.448,28,TRACKING,11.611,1.666,11.365,1.828,6.125,1.075,5.378,0.505,5.402,94.28,129.76,0.97,4.491,2.917,1,TRUE,TRUE,770.5,372.7,769.9,373.3,763.3,375.6,FALSE,63,1.96
0.464,29,TRACKING,11.584,1.722,11.464,1.684,6.19,1.125,5.117,0.727,5.168,90.2,124.07,0.991,4.078,3.132,1,TRUE,TRUE,764.1,377.8,764.7,377.5,760,376.2,FALSE,63,3.03
0.48,30,TRACKING,11.556,1.778,10.94,1.737,6.266,1.178,5.549,0.755,5.601,97.75,134.52,1,4.736,3.321,1,TRUE,TRUE,775,378.5,775.1,378.1,758.5,376.7,FALSE,63,0.65
0.496,31,TRACKING,11.527,1.834,11.056,2.229,6.345,1.22,5.322,0.285,5.329,93.01,128.02,1,4.931,2.646,1,TRUE,TRUE,769.7,367.3,769.3,367.6,756.5,375.9,FALSE,63,8.09
0.512,32,TRACKING,11.498,1.89,11.453,1.847,6.412,1.267,4.754,0.743,4.812,83.98,115.46,1,4.206,2.901,1,TRUE,TRUE,755.9,378.4,755.1,377.7,753.1,376.4,FALSE,63,11.5
0.528,33,TRACKING,11.467,1.945,11.061,1.883,6.481,1.317,5.026,0.787,5.087,88.79,122.1,1,4.331,3.16,1,TRUE,TRUE,762.6,379.7,762.2,379,750.9,377,FALSE,63,1.97
0.544,34,TRACKING,11.435,2.001,10.819,2.184,6.559,1.366,5.181,0.543,5.209,90.92,125.09,1,4.868,3.023,1,TRUE,TRUE,766.7,374.1,766.9,374.6,749.6,377,FALSE,63,1.88
0.56,35,TRACKING,11.403,2.056,11.277,2.326,6.629,1.409,4.574,0.439,4.595,80.2,110.28,1,4.382,2.67,1,TRUE,TRUE,751.9,371.7,751.9,371,746.8,376.6,FALSE,63,2.3
0.576,36,TRACKING,11.37,2.111,11.224,1.937,6.694,1.46,4.485,0.924,4.579,79.92,109.81,1,4.085,3.231,1,TRUE,TRUE,749.6,383.3,750.8,383.2,744.1,377.6,FALSE,63,9.43
0.592,37,TRACKING,11.335,2.166,10.756,2.262,6.767,1.512,4.86,0.665,4.905,85.61,117.73,1,4.505,3.239,1,TRUE,TRUE,758.8,377.1,759,377.4,742.7,377.8,FALSE,63,45.41
0.608,38,TRACKING,11.3,2.221,10.996,2.521,6.836,1.557,4.495,0.441,4.517,78.84,108.4,1,4.366,2.827,1,TRUE,TRUE,749.8,371.6,750.2,371,740.6,377.4,FALSE,63,1.93
0.624,39,TRACKING,11.264,2.276,11.249,2.304,6.895,1.604,4.077,0.724,4.14,72.27,99.28,1,3.666,2.938,1,TRUE,TRUE,739.3,378,738.6,377.6,737.5,377.7,FALSE,63,2.08
0.64,40,TRACKING,11.227,2.33,10.815,2.216,6.955,1.657,4.391,0.897,4.481,78.21,107.46,1,3.718,3.292,1,TRUE,TRUE,746.7,382,746.3,382.2,735.4,378.4,FALSE,63,2.65
0.656,41,TRACKING,11.19,2.384,10.708,2.642,7.017,1.704,4.388,0.51,4.418,77.11,106,1,3.88,2.937,1,TRUE,TRUE,746.6,372.7,746.9,372.1,733.7,378,FALSE,63,8.72
0.672,42,TRACKING,11.151,2.438,11.077,2.658,7.07,1.749,3.866,0.542,3.904,68.13,93.61,1,3.36,2.811,1,TRUE,TRUE,733.7,373.4,734.1,374.4,731,377.9,FALSE,63,13.07
0.688,43,TRACKING,11.112,2.492,10.906,2.336,7.12,1.801,3.896,0.951,4.01,70,96.1,1,3.106,3.226,1,TRUE,TRUE,734.3,383.2,734.7,383.4,728.5,378.6,FALSE,63,2.21
0.704,44,TRACKING,11.071,2.546,10.555,2.659,7.173,1.851,4.14,0.685,4.197,73.24,100.64,1,3.336,3.159,1,TRUE,TRUE,740.2,377.1,740.9,377,726.9,378.7,FALSE,63,1.88
0.72,45,TRACKING,11.03,2.599,10.773,2.891,7.222,1.898,3.783,0.496,3.816,66.59,91.5,0.994,3.048,2.908,1,TRUE,TRUE,731.6,372.8,731,373.4,724.6,378.5,FALSE,63,1.73
0.736,46,TRACKING,10.988,2.653,10.897,2.702,7.265,1.946,3.514,0.751,3.593,62.71,86.09,0.973,2.703,3.049,1,TRUE,TRUE,725.1,379,727,379.4,722.1,378.8,FALSE,63,10.15
0.752,47,TRACKING,10.945,2.706,10.536,2.568,7.309,2,3.75,0.966,3.872,67.59,92.77,0.953,2.696,3.361,1,TRUE,TRUE,731,384.3,730.4,383.5,720.1,379.4,FALSE,63,2.92
0.768,48,TRACKING,10.902,2.759,10.476,3.117,7.352,2.049,3.691,0.455,3.719,64.9,89.17,0.938,2.708,3.031,1,TRUE,TRUE,729.7,372.2,729.4,372.9,718.3,379.1,FALSE,63,1.93
0.784,49,TRACKING,10.857,2.811,10.712,2.952,7.389,2.097,3.308,0.673,3.376,58.92,80.89,0.931,2.332,2.995,1,TRUE,TRUE,720.5,377.2,720.4,376.9,715.8,379.1,FALSE,63,1.9
0.8,50,TRACKING,10.812,2.864,10.561,2.817,7.423,2.148,3.322,0.882,3.437,59.99,82.31,0.935,2.139,3.243,1,TRUE,TRUE,720.9,382,720.8,382.5,713.6,379.6,FALSE,63,2.81
0.816,51,TRACKING,10.765,2.916,10.293,2.966,7.46,2.201,3.477,0.794,3.566,62.24,85.43,0.948,2.259,3.265,1,TRUE,TRUE,724.7,379.7,725,379.3,712,379.8,FALSE,63,2.41
0.832,52,TRACKING,10.718,2.968,10.416,3.388,7.494,2.246,3.225,0.396,3.249,56.71,77.89,0.97,2.136,2.801,1,TRUE,TRUE,718.5,370,719.4,369.5,710.1,379.1,FALSE,63,2.38
0.848,53,TRACKING,10.67,3.02,10.509,2.928,7.522,2.295,2.987,0.928,3.127,54.58,74.84,0.996,1.775,3.089,1,TRUE,TRUE,712.6,382.5,712.4,382.7,707.7,379.6,FALSE,63,1.84
0.864,54,TRACKING,10.622,3.071,10.239,3.096,7.549,2.346,3.127,0.824,3.234,56.44,77.43,1,1.681,3.206,1,TRUE,TRUE,715.8,380.1,715,380.8,705.8,379.9,FALSE,63,3.09
0.88,55,TRACKING,10.572,3.122,10.105,3.354,7.576,2.395,3.139,0.609,3.197,55.81,76.61,1,1.668,3.03,1,TRUE,TRUE,715.9,375.1,715.2,375.2,704,379.7,FALSE,63,2.29
0.896,56,TRACKING,10.522,3.173,10.281,3.442,7.597,2.44,2.82,0.558,2.874,50.17,68.85,1,1.357,2.807,1,TRUE,TRUE,708,374,707.3,373.1,701.8,379.4,FALSE,63,2.75
0.912,57,TRACKING,10.471,3.224,10.212,3.015,7.615,2.491,2.744,1.065,2.944,51.37,70.37,1,1.064,3.207,1,TRUE,TRUE,705.9,386.3,704.8,385.9,699.6,380.1,FALSE,63,2.51
0.928,58,TRACKING,10.419,3.275,9.899,3.498,7.633,2.54,2.94,0.627,3.006,52.46,72,1,1.149,3.065,1,TRUE,TRUE,710.5,376.2,710.8,376,698,379.9,FALSE,63,2.78
0.944,59,TRACKING,10.366,3.325,9.934,3.588,7.65,2.587,2.776,0.579,2.836,49.5,67.93,1,1.051,2.921,1,TRUE,TRUE,706.5,375.1,706.1,375.1,696.2,379.7,FALSE,63,1.89
0.96,60,TRACKING,10.312,3.375,10.106,3.42,7.661,2.636,2.457,0.809,2.587,45.14,61.87,1,0.694,3.064,1,TRUE,TRUE,698.8,380.5,698.3,381.1,693.9,380,FALSE,63,1.8
0.976,61,TRACKING,10.258,3.425,9.83,3.33,7.671,2.689,2.606,0.968,2.78,48.52,66.46,1,0.639,3.3,1,TRUE,TRUE,702.4,384.2,702.4,384.3,692.2,380.5,FALSE,63,2.32
0.992,62,TRACKING,10.203,3.474,9.586,3.848,7.681,2.733,2.728,0.467,2.767,48.3,66.3,0.998,0.651,2.779,1,TRUE,TRUE,705.5,372.1,702.9,367.4,690.6,379.7,FALSE,63,3.03
1.008,63,TRACKING,10.147,3.524,9.838,3.637,7.688,2.778,2.339,0.727,2.45,42.75,58.6,0.989,0.429,2.81,1,TRUE,TRUE,696.3,378,696.2,377.7,688.7,379.7,FALSE,63,1.97
1.024,64,TRACKING,10.09,3.573,9.811,3.473,7.692,2.827,2.228,0.957,2.425,42.33,57.93,0.985,0.218,3.056,1,TRUE,TRUE,693.7,383.3,694.1,383.3,686.7,380.1,FALSE,63,1.87
1.04,65,TRACKING,10.032,3.621,9.381,3.754,7.698,2.875,2.55,0.723,2.65,46.26,63.43,0.986,0.4,2.996,1,TRUE,TRUE,701.6,377.7,702.1,377.3,685.5,380.1,FALSE,63,1.88
1.056,66,TRACKING,9.974,3.67,9.462,4.002,7.703,2.919,2.345,0.506,2.399,41.88,57.45,0.989,0.329,2.762,1,TRUE,TRUE,696.7,372.5,695.9,372.5,683.9,379.7,FALSE,63,3.67
1.072,67,TRACKING,9.915,3.718,9.724,3.654,7.703,2.967,1.939,0.919,2.146,37.45,51.22,0.992,-0.024,3,1,TRUE,TRUE,686.9,382.4,687.1,383.2,681.9,380,FALSE,63,1.31
1.088,68,TRACKING,9.855,3.766,9.329,3.735,7.703,3.017,2.214,0.899,2.39,41.71,57.11,0.993,-0.002,3.148,1,TRUE,TRUE,693.4,382.2,693.9,382.5,680.5,380.4,FALSE,63,0.51
1.104,69,TRACKING,9.794,3.813,9.087,4.159,7.705,3.064,2.348,0.509,2.403,41.94,57.53,0.989,0.14,2.922,1,TRUE,TRUE,696.6,373.1,696.6,373.6,679.3,380,FALSE,63,0.57
1.12,70,TRACKING,9.733,3.861,9.467,3.986,7.702,3.111,1.826,0.729,1.966,34.32,46.98,0.982,-0.219,2.923,1,TRUE,TRUE,683.8,378.5,683,378.2,677.4,380,FALSE,63,0.55
1.136,71,TRACKING,9.671,3.908,9.343,3.812,7.695,3.161,1.812,0.966,2.054,35.84,48.98,0.972,-0.454,3.121,1,TRUE,TRUE,683.2,384.2,683.1,383.6,675.6,380.4,FALSE,63,1.52
1.152,72,TRACKING,9.608,3.954,9.072,4.533,7.732,3.281,2.179,0.636,2.27,39.62,54.31,0.963,2.337,7.538,1,TRUE,TRUE,692.9,378.1,766.6,501.8,679.4,388.5,FALSE,63,1.56
1.168,73,TRACKING,9.544,4.001,9.317,4.82,7.756,3.38,1.795,0.36,1.831,31.95,43.83,0.957,1.512,6.133,1,TRUE,TRUE,683.3,371,682.7,370.4,677.6,387.7,FALSE,63,0.54
1.184,74,TRACKING,9.48,4.047,9.557,4.41,7.766,3.468,1.396,0.813,1.616,28.2,38.5,0.958,0.62,5.516,1,TRUE,TRUE,673.3,381.2,673.3,381.6,675.3,387.6,FALSE,63,0.53
1.2,75,TRACKING,9.415,4.092,9.014,4.639,7.771,3.546,1.809,0.612,1.909,33.32,45.65,0.966,0.307,4.886,1,TRUE,TRUE,683,376,682.5,376.1,673.7,387.2,FALSE,63,1.15
1.216,76,TRACKING,9.349,4.138,8.889,4.903,7.773,3.613,1.811,0.356,1.846,32.21,44.19,0.981,0.135,4.194,1,TRUE,TRUE,683.1,369.6,683.5,369.3,672.4,386.3,FALSE,63,1.45
1.232,77,TRACKING,9.282,4.183,9.317,4.858,7.765,3.673,1.223,0.418,1.292,22.55,30.88,1,-0.479,3.749,1,TRUE,TRUE,668.9,370.8,668.2,371.3,670.1,385.6,FALSE,63,1.65
1.248,78,TRACKING,9.215,4.228,9.013,4.496,7.753,3.733,1.384,0.821,1.609,28.08,38.34,1,-0.768,3.735,1,TRUE,TRUE,672.8,380.3,672.7,380.7,668.3,385.6,FALSE,63,0.54
1.264,79,TRACKING,9.147,4.272,8.538,5.023,7.742,3.786,1.742,0.302,1.768,30.86,42.33,1,-0.685,3.297,1,TRUE,TRUE,681.6,368.1,681.4,368.1,667.1,384.7,FALSE,63,0.52
1.28,80,TRACKING,9.078,4.316,8.888,4.969,7.727,3.834,1.249,0.37,1.303,22.73,31.15,1,-0.968,3.008,1,TRUE,TRUE,669.8,369.7,670.2,369.4,665.4,384,FALSE,63,0.55
1.296,81,TRACKING,9.009,4.36,8.959,4.783,7.705,3.882,1.025,0.585,1.181,20.61,28.14,1,-1.342,2.991,1,TRUE,TRUE,664.4,375,664.6,375.7,663.4,383.6,FALSE,63,1.23
1.312,82,TRACKING,8.939,4.403,8.362,4.731,7.685,3.929,1.502,0.668,1.644,28.7,39.26,1,-1.245,2.982,1,TRUE,TRUE,675.9,377.1,676.1,376.2,662.2,383.4,FALSE,63,1.49
1.328,83,TRACKING,8.868,4.446,8.394,5.26,7.665,3.971,1.343,0.144,1.351,23.58,32.36,1,-1.285,2.622,1,TRUE,TRUE,672.1,364.8,672.2,365.4,660.8,382.4,FALSE,63,0.56
1.344,84,TRACKING,8.797,4.489,8.743,4.864,7.638,4.014,0.844,0.568,1.017,17.76,24.21,1,-1.656,2.642,1,TRUE,TRUE,659.9,374.7,660.7,374.8,658.9,382.1,FALSE,63,0.54
1.36,85,TRACKING,8.724,4.532,8.31,4.83,7.61,4.056,1.143,0.635,1.308,22.82,31.17,1,-1.749,2.686,1,TRUE,TRUE,666.9,376.2,666.3,376.1,657.4,381.9,FALSE,63,0.55
1.376,86,TRACKING,8.652,4.574,7.98,5.058,7.584,4.098,1.354,0.429,1.42,24.78,33.96,0.983,-1.654,2.579,1,TRUE,TRUE,671.9,371.1,671.4,371.9,656.4,381.4,FALSE,63,2.05
1.392,87,TRACKING,8.578,4.615,8.338,5.268,7.553,4.135,0.852,0.227,0.882,15.39,21.09,0.963,-1.937,2.318,1,TRUE,TRUE,659.6,366,659.3,366.3,654.6,380.6,FALSE,63,1.8
1.408,88,TRACKING,8.504,4.657,8.24,4.777,7.518,4.174,0.804,0.756,1.103,19.26,26.17,0.95,-2.189,2.462,1,TRUE,TRUE,658.2,378.3,657.6,377.8,652.9,380.5,FALSE,63,0.56
1.424,89,TRACKING,8.429,4.698,7.727,5.043,7.484,4.212,1.198,0.512,1.303,22.74,31.11,0.947,-2.091,2.377,1,TRUE,TRUE,667.5,372.5,667,371.7,651.9,380.1,FALSE,63,0.6
1.44,90,TRACKING,8.354,4.738,7.847,5.277,7.45,4.247,0.949,0.291,0.993,17.32,23.73,0.951,-2.154,2.18,1,TRUE,TRUE,661.5,367.3,662,367.6,650.6,379.5,FALSE,63,0.54
1.456,91,TRACKING,8.277,4.778,8.04,5.1,7.411,4.281,0.611,0.491,0.784,13.67,18.61,0.961,-2.432,2.139,1,TRUE,TRUE,653.3,372.1,653.8,371.4,648.9,379.1,FALSE,63,1.46
1.472,92,TRACKING,8.201,4.818,7.618,4.873,7.372,4.319,0.908,0.763,1.186,20.69,28.15,0.974,-2.419,2.366,1,TRUE,TRUE,660.5,378.7,661.1,380.4,647.8,379.2,FALSE,63,1.96
1.488,93,TRACKING,8.123,4.858,7.421,5.313,7.335,4.354,0.986,0.339,1.042,18.19,24.91,0.987,-2.355,2.181,1,TRUE,TRUE,662.5,368.9,662.7,368.6,646.8,378.6,FALSE,63,0.5
