timestamp_s,frame_number,tracking_status,target_pan_deg,target_tilt_deg,estimated_pan_deg,estimated_tilt_deg,gimbal_pan_deg,gimbal_tilt_deg,pan_error_deg,tilt_error_deg,total_angular_error_deg,total_angular_error_mrad,pixel_error_px,rssi_signal_strength,pan_pid_output,tilt_pid_output,detection_confidence,beacon_visible,ground_truth_in_fov,ground_truth_x_px,ground_truth_y_px,detected_x_px,detected_y_px,predicted_x_px,predicted_y_px,link_locked,fps,processing_time_ms
0.016,1,ACQUIRING,0.225,0.242,0.173,0.336,0,0.087,0.061,0.391,0.395,6.9,9.28,0.961,0,5.447,1,TRUE,TRUE,641.6,371.6,640.2,371.4,640.2,371.4,FALSE,63,0.97
0.032,2,TRACKING,0.337,0.363,0.377,0.378,0.076,0.126,0.381,0.311,0.492,8.59,11.69,0.966,4.745,2.44,1,TRUE,TRUE,651.3,368.4,650.5,367.5,650.1,367.6,FALSE,63,2.06
0.048,3,TRACKING,0.449,0.484,0.476,0.572,0.139,0.15,0.416,0.192,0.458,7.99,10.93,0.974,3.914,1.462,1,TRUE,TRUE,651.9,365,651.1,365.5,650.6,366.6,FALSE,63,1.74
0.064,4,TRACKING,0.561,0.604,0.723,0.598,0.179,0.172,0.233,0.3,0.38,6.63,8.98,0.982,2.547,1.421,1,TRUE,TRUE,647,367.4,647.1,367.5,649.4,366.9,FALSE,63,1.77
0.08,5,TRACKING,0.674,0.725,0.667,0.347,0.215,0.223,0.41,0.825,0.922,16.09,21.71,0.988,2.229,3.147,1,TRUE,TRUE,651.1,380.2,650.3,381,649.7,370.5,FALSE,63,1.74
0.096,6,TRACKING,0.786,0.845,0.569,0.846,0.259,0.265,0.688,0.448,0.821,14.33,19.54,0.99,2.78,2.645,1,TRUE,TRUE,657.8,371.1,657.4,370.4,651.3,370.5,FALSE,63,3.05
0.112,7,TRACKING,0.898,0.966,1.285,1.418,0.389,0.393,0.503,0.414,0.651,11.36,15.47,0.989,8.085,7.993,1,TRUE,TRUE,655.3,372.3,705.4,423.1,661.3,380.3,FALSE,63,2.1
0.128,8,TRACKING,1.01,1.086,1.473,1.252,0.481,0.499,0.366,0.703,0.793,13.83,18.67,0.985,5.762,6.603,1,TRUE,TRUE,651,378.8,650.4,378.4,659.9,380.4,FALSE,63,1.78
0.144,9,TRACKING,1.122,1.205,1.312,1.301,0.557,0.593,0.63,0.796,1.015,17.72,24.01,0.982,4.767,5.921,1,TRUE,TRUE,656.7,380.9,656.6,381.4,659.6,380.9,FALSE,63,1.74
0.16,10,TRACKING,1.234,1.325,1.303,1.772,0.626,0.662,0.758,0.393,0.854,14.91,20.37,0.981,4.281,4.303,1,TRUE,TRUE,659.5,371.1,659,370.5,659.8,379.7,FALSE,63,1.74
