timestamp_s,frame_number,tracking_status,target_pan_deg,target_tilt_deg,estimated_pan_deg,estimated_tilt_deg,gimbal_pan_deg,gimbal_tilt_deg,pan_error_deg,tilt_error_deg,total_angular_error_deg,total_angular_error_mrad,pixel_error_px,rssi_signal_strength,pan_pid_output,tilt_pid_output,detection_confidence,beacon_visible,ground_truth_in_fov,ground_truth_x_px,ground_truth_y_px,detected_x_px,detected_y_px,predicted_x_px,predicted_y_px,link_locked,fps,processing_time_ms
0.016,1,ACQUIRING,11.999,0.064,12.522,0.057,0.56,0.016,11.407,0.095,11.407,199.09,276.92,0.984,35,0.995,1,TRUE,TRUE,931,362.8,930,362.1,930,362.1,FALSE,63,0.48
0.032,2,TRACKING,11.999,0.07,12.596,0.038,1.12,0.012,10.903,0.072,10.904,190.3,264.39,0.984,35,-0.224,1,TRUE,TRUE,918.4,361.7,918.8,360.9,919.2,361,FALSE,63,0.43
0.048,3,TRACKING,11.999,0.076,12.865,0.075,1.68,0.01,10.34,0.037,10.34,180.47,250.42,0.984,35,-0.157,1,TRUE,TRUE,904.5,360.8,904.3,360.8,911.9,360.9,FALSE,63,0.42
0.064,4,TRACKING,11.999,0.081,13.171,0.07,2.24,0.008,9.729,0.047,9.729,169.81,235.33,0.984,35,-0.111,1,TRUE,TRUE,889.3,361,889.2,360.8,904.3,360.8,FALSE,63,0.4
0.08,5,TRACKING,11.999,0.087,13.424,0.008,2.8,0.017,9.189,0.135,9.19,160.4,222.05,0.983,35,0.57,1,TRUE,TRUE,876,363.2,876.6,362.7,897.2,361.3,FALSE,63,0.44
0.096,6,TRACKING,11.999,0.093,13.645,0.102,3.36,0.024,8.671,0.043,8.671,151.34,209.31,0.983,35,0.405,1,TRUE,TRUE,863.2,361,863.3,360.9,889.9,361.2,FALSE,63,0.4
0.112,7,TRACKING,11.999,0.099,13.845,0.111,3.852,0.029,8.146,0.038,8.146,142.17,196.45,0.983,30.729,0.316,1,TRUE,TRUE,848.5,360.9,848.3,361.1,881.8,361.2,FALSE,63,0.39
0.128,8,TRACKING,11.998,0.105,13.926,0.067,4.248,0.034,7.718,0.094,7.719,134.72,186.02,0.983,24.76,0.336,1,TRUE,TRUE,835.7,362.2,835,361.8,873.3,361.3,FALSE,63,0.4
0.144,9,TRACKING,11.998,0.11,13.857,0.066,4.567,0.04,7.444,0.107,7.445,129.93,179.34,0.984,19.976,0.384,1,TRUE,TRUE,827,362.7,826.4,362.2,864.8,361.5,FALSE,63,0.4
0.16,10,TRACKING,11.998,0.116,13.752,0.154,4.824,0.044,7.204,0.018,7.205,125.74,173.49,0.984,16.01,0.24,1,TRUE,TRUE,819.6,360.6,818.9,360.5,856.3,361.3,FALSE,63,0.39
