timestamp_s,frame_number,tracking_status,target_pan_deg,target_tilt_deg,estimated_pan_deg,estimated_tilt_deg,gimbal_pan_deg,gimbal_tilt_deg,pan_error_deg,tilt_error_deg,total_angular_error_deg,total_angular_error_mrad,pixel_error_px,rssi_signal_strength,pan_pid_output,tilt_pid_output,detection_confidence,beacon_visible,ground_truth_in_fov,ground_truth_x_px,ground_truth_y_px,detected_x_px,detected_y_px,predicted_x_px,predicted_y_px,link_locked,fps,processing_time_ms
0.016,1,ACQUIRING,11.998,0.116,18.534,-2.628,0.56,-0.365,11.275,0.717,11.298,197.18,274.14,0.951,35,-22.789,1,TRUE,TRUE,927.8,368.7,1080.9,312.5,1080.9,312.5,FALSE,63,1.87
0.032,2,TRACKING,11.996,0.174,18.512,-2.416,1.12,-0.597,10.996,0.845,11.029,192.48,267.42,0.957,35,-14.495,1,TRUE,TRUE,921,374.6,1072.8,319.3,1073.1,319.1,FALSE,63,2.32
0.048,3,TRACKING,11.993,0.232,15.921,-0.978,1.68,-0.565,10.418,0.655,10.438,182.18,252.8,0.967,35,1.983,1,TRUE,TRUE,906.7,376.1,906,375.9,991,347,FALSE,63,2.22
0.064,4,TRACKING,11.988,0.29,15.362,-0.473,2.24,-0.47,9.599,0.628,9.62,167.9,232.58,0.978,35,5.95,1,TRUE,TRUE,886.5,376.7,886.7,376.5,956.2,356.8,FALSE,63,2.19
0.08,5,TRACKING,11.983,0.348,14.976,-0.476,2.8,-0.34,9.135,1.011,9.191,160.41,221.97,0.985,35,8.131,1,TRUE,TRUE,875,386.3,874.6,385.8,934.9,364.4,FALSE,63,2.1
0.096,6,TRACKING,11.977,0.406,15.93,-0.387,3.36,-0.323,8.778,0.597,8.799,153.57,212.4,0.988,35,1.043,1,TRUE,TRUE,866.1,373.9,1010.5,320.6,950.1,355.4,FALSE,63,2.36
0.112,7,TRACKING,11.97,0.464,16.945,-0.674,3.92,-0.372,8.044,0.677,8.072,140.89,194.61,0.986,35,-3.05,1,TRUE,TRUE,847.8,374.3,991.7,321.6,957.3,349.2,FALSE,63,2.33
0.128,8,TRACKING,11.962,0.522,16.739,-0.694,4.415,-0.358,7.384,0.996,7.451,130.05,179.4,0.982,30.963,0.835,1,TRUE,TRUE,829.9,383.4,830.6,383.6,935.7,354.8,FALSE,63,2.17
0.144,9,TRACKING,11.954,0.58,16.069,-0.492,4.737,-0.303,7.282,1.067,7.359,128.45,177.15,0.977,20.1,3.474,1,TRUE,TRUE,823,386.3,823.2,385.9,916.7,359.9,FALSE,63,3.44
0.16,10,TRACKING,11.944,0.638,15.472,0.157,4.929,-0.228,7.165,0.596,7.189,125.48,173.09,0.976,11.993,4.653,1,TRUE,TRUE,816.8,376,816.7,376,899.2,362.7,FALSE,63,2.1
0.176,11,TRACKING,11.933,0.696,15.286,1.074,5.042,0.057,6.76,0.636,6.79,118.51,163.38,0.981,7.069,17.816,1,TRUE,TRUE,804.9,382.1,824.2,498.3,884.8,383.8,FALSE,63,2.24
0.192,12,TRACKING,11.922,0.753,15.68,0.766,5.28,0.223,6.532,0.762,6.577,114.79,158.18,0.993,14.844,10.397,1,TRUE,TRUE,802.4,382.3,938.3,334.4,889.2,378.2,FALSE,63,2.19
0.208,13,TRACKING,11.909,0.811,14.844,1.246,5.398,0.366,6.704,0.362,6.714,117.18,161.55,1,7.401,8.931,1,TRUE,TRUE,803.7,372.3,803,373,873.1,378.7,FALSE,63,1.97
0.224,14,TRACKING,11.896,0.869,14.406,1.459,5.425,0.481,6.504,0.186,6.506,113.55,156.52,1,1.671,7.189,1,TRUE,TRUE,796.8,367.3,797.5,367.3,857.7,378.2,FALSE,63,1.93
0.24,15,TRACKING,11.881,0.926,14.01,1.216,5.378,0.587,6.275,0.511,6.296,109.88,151.39,1,-2.946,6.622,1,TRUE,TRUE,789.6,374.4,790,374.8,842.8,378.8,FALSE,63,1.93
0.256,16,TRACKING,11.866,0.984,14.15,0.972,5.505,0.605,6.438,0.521,6.459,112.72,155.34,1,7.945,1.134,1,TRUE,TRUE,798,372.3,929.8,326.7,850.6,371.9,FALSE,63,2.88
0.272,17,TRACKING,11.85,1.041,14.574,1.007,5.761,0.546,6.301,0.22,6.305,110.05,151.65,1,16.032,-3.716,1,TRUE,TRUE,798,363.3,929.1,318.5,858,364.4,FALSE,63,2.09
0.288,18,TRACKING,11.833,1.098,14.494,0.725,5.886,0.521,5.754,0.617,5.787,101.01,139.06,1,7.818,-1.558,1,TRUE,TRUE,781.8,373.4,782,373.8,843,365.7,FALSE,63,1.9
0.304,19,TRACKING,11.815,1.156,13.9,0.658,5.918,0.527,5.765,0.821,5.823,101.64,139.9,1,2.002,0.388,1,TRUE,TRUE,779.9,379,779.2,378.1,829.3,367.6,FALSE,63,1.87
0.32,20,TRACKING,11.796,1.213,13.038,0.976,5.905,0.55,6.167,0.61,6.197,108.16,148.99,1,-0.85,1.422,1,TRUE,TRUE,788.5,374.6,789.1,374.7,818.5,368.8,FALSE,63,1.86
0.336,21,TRACKING,11.776,1.27,13.771,0.899,6.039,0.512,5.731,0.501,5.753,100.4,138.24,1,8.404,-2.375,1,TRUE,TRUE,781.4,370.9,906.8,328.1,826.2,363,FALSE,63,2.28
0.352,22,TRACKING,11.755,1.327,14.519,0.187,6.267,0.458,5.198,1.143,5.322,92.89,127.7,0.967,14.263,-3.393,1,TRUE,TRUE,770.7,385.8,896.2,343.7,831.9,360.1,FALSE,63,2.1
0.368,23,TRACKING,11.733,1.384,13.714,0.556,6.395,0.445,5.501,0.957,5.583,97.45,134.07,0.94,7.951,-0.797,1,TRUE,TRUE,775.4,382.6,775.6,383,820.2,363,FALSE,63,2.66
0.384,24,TRACKING,11.711,1.44,13.277,0.856,6.452,0.461,5.476,0.814,5.536,96.63,132.95,0.921,3.559,1.014,1,TRUE,TRUE,772.9,380,773.2,380.9,809.5,365.4,FALSE,63,1.89
0.4,25,TRACKING,11.687,1.497,13.3,0.9,6.444,0.501,4.958,0.932,5.045,88.05,121.05,0.915,-0.496,2.513,1,TRUE,TRUE,758.6,383.2,758.7,383.4,798.1,367.9,FALSE,63,1.82
0.416,26,TRACKING,11.663,1.553,12.947,1.563,6.458,0.732,5.135,1.145,5.261,91.83,126.23,0.922,0.915,14.405,1,TRUE,TRUE,763.3,392.5,806.9,509.4,794.4,387.1,FALSE,63,2.08
0.432,27,TRACKING,11.638,1.61,13.031,2.006,6.604,0.863,5.365,0.525,5.391,94.09,129.49,0.939,9.089,8.241,1,TRUE,TRUE,771.9,375.3,892.7,336.8,802.7,381.6,FALSE,63,1.99
0.448,28,TRACKING,11.611,1.666,13.135,1.991,6.675,0.977,4.828,0.602,4.866,84.92,116.79,0.963,4.446,7.095,1,TRUE,TRUE,757.1,376.5,757.7,376.3,792.8,381.8,FALSE,63,1.81
0.464,29,TRACKING,11.584,1.722,13.233,2.68,6.748,1.23,4.559,0.623,4.601,80.3,110.4,0.988,4.575,15.785,1,TRUE,TRUE,750.8,380,799.2,495.9,789.3,397.1,FALSE,63,1.8
0.48,30,TRACKING,11.556,1.778,12.409,2.81,6.781,1.431,5.034,0.502,5.059,88.3,121.48,1,2.04,12.559,1,TRUE,TRUE,761.4,376,761.3,376.2,781.5,396,FALSE,63,1.78
0.496,31,TRACKING,11.527,1.834,12.544,4.062,6.843,1.717,4.823,-0.211,4.828,84.26,115.92,1,3.884,17.891,1,TRUE,TRUE,757.2,361.3,808.3,477.4,780.4,407.3,FALSE,63,2.59
0.512,32,TRACKING,11.498,1.89,12.998,4.418,6.917,2.067,4.249,-0.056,4.25,74.17,101.98,1,4.615,21.864,1,TRUE,TRUE,743.9,366.7,797.6,481,778.2,418,FALSE,63,1.98
0.528,33,TRACKING,11.467,1.945,12.357,4.445,6.95,2.322,4.557,-0.217,4.562,79.63,109.51,1,2.075,15.964,1,TRUE,TRUE,750.5,361,751.1,360.9,770.9,413.5,FALSE,63,1.8
0.544,34,TRACKING,11.435,2.001,11.85,4.648,6.961,2.498,4.779,-0.59,4.815,84.04,115.57,1,0.697,11.016,1,TRUE,TRUE,755.5,350.6,754.8,351,764.8,408.3,FALSE,63,1.78
0.56,35,TRACKING,11.403,2.056,12.057,4.64,6.946,2.611,4.257,-0.763,4.325,75.48,103.71,1,-0.912,7.018,1,TRUE,TRUE,742.3,345.2,742.8,344.9,757.9,402.7,FALSE,63,1.78
0.576,36,TRACKING,11.37,2.111,11.759,4.067,6.915,2.688,4.264,-0.304,4.275,74.61,102.58,1,-1.953,4.842,1,TRUE,TRUE,742.1,355.2,742,355.7,751.7,398.8,FALSE,63,1.96
0.592,37,TRACKING,11.335,2.166,11.657,3.999,6.994,2.698,4.633,-0.521,4.662,81.37,111.89,1,4.912,0.616,1,TRUE,TRUE,753.5,348.4,859.4,315.8,759,390.8,FALSE,63,1.93
0.608,38,TRACKING,11.3,2.221,11.732,4.036,7.039,2.687,4.293,-0.689,4.348,75.89,104.29,1,2.82,-0.651,1,TRUE,TRUE,744.4,343.8,744.4,343.9,753.4,386.4,FALSE,63,1.8
0.624,39,TRACKING,11.264,2.276,11.82,3.605,7.053,2.67,3.919,-0.341,3.934,68.66,94.36,1,0.865,-1.12,1,TRUE,TRUE,734.4,351.5,734.5,351.6,747.4,383.2,FALSE,63,1.79
0.64,40,TRACKING,11.227,2.33,11.223,3.317,7.054,2.652,4.291,-0.098,4.292,74.91,103,1,0.111,-1.126,1,TRUE,TRUE,742.9,356.9,743.1,357.6,742.9,380.9,FALSE,63,2.26
0.656,41,TRACKING,11.19,2.384,10.963,3.56,7.052,2.626,4.353,-0.412,4.373,76.32,104.93,1,-0.176,-1.622,1,TRUE,TRUE,744.1,349.2,745.3,350,739,377.9,FALSE,63,1.93
0.672,42,TRACKING,11.151,2.438,11.524,3.984,7.098,2.701,3.838,-0.41,3.86,67.37,92.58,1,2.888,4.737,1,TRUE,TRUE,732.7,351.6,800.5,464.6,741.1,386.6,FALSE,63,1.98
0.688,43,TRACKING,11.112,2.492,11.241,3.539,7.122,2.754,3.895,-0.003,3.895,67.97,93.44,1,1.494,3.295,1,TRUE,TRUE,733.5,360.8,734.1,360.6,736.5,384.5,FALSE,63,1.81
0.704,44,TRACKING,11.071,2.546,10.768,3.727,7.136,2.784,4.178,-0.248,4.185,73.05,100.42,1,0.886,1.89,1,TRUE,TRUE,740.1,354.7,739.2,354.3,732.9,381.9,FALSE,63,1.83
0.72,45,TRACKING,11.03,2.599,10.872,3.819,7.138,2.795,3.867,-0.402,3.888,67.86,93.26,0.992,0.141,0.686,1,TRUE,TRUE,732.4,350.9,731.6,351.2,729,379.2,FALSE,63,1.77
0.736,46,TRACKING,10.988,2.653,11.228,4.037,7.192,2.896,3.587,-0.199,3.593,62.71,86.17,0.966,3.346,6.303,1,TRUE,TRUE,727.1,358,800.6,470.7,731.8,387.8,FALSE,63,2.03
0.752,47,TRACKING,10.945,2.706,11.147,4.342,7.29,3.064,3.768,-0.098,3.77,65.79,90.43,0.941,6.157,10.518,1,TRUE,TRUE,732.7,362.1,808.1,473.6,735.3,396.1,FALSE,63,2.03
0.768,48,TRACKING,10.902,2.759,11.03,4.807,7.359,3.175,3.683,-0.672,3.744,65.35,89.75,0.922,4.315,6.921,1,TRUE,TRUE,730.2,347.4,729.8,346.6,731.5,392.3,FALSE,63,2.39
0.784,49,TRACKING,10.857,2.811,11.193,4.532,7.401,3.248,3.296,-0.478,3.331,58.14,79.84,0.914,2.608,4.554,1,TRUE,TRUE,720.4,350.9,720.3,351.1,727.1,389.1,FALSE,63,1.85
0.8,50,TRACKING,10.812,2.864,10.959,4.259,7.424,3.296,3.321,-0.266,3.332,58.15,79.89,0.918,1.464,3.001,1,TRUE,TRUE,720.7,355.1,720.4,354.5,723.2,386.5,FALSE,63,1.8
